sampYear,sampMonth,sampDay,treatment,rep,depthTop,depthBottom,plot,suffix,study,concNO3,concNO3rr,concNH4,concNH4rr
2014,6,2,1,1,0,3,1,E,Rotation 1,4.958,,11.939,
2014,6,2,1,1,3,6,1,E,Rotation 1,2.804,,7.25,
2014,6,2,1,1,6,12,1,E,Rotation 1,6.554,,23.358,
2014,6,2,6,1,0,3,2,E,Rotation 1,110.633,126.301,12.812,10.746
2014,6,2,6,1,3,6,2,E,Rotation 1,110.532,112.025,10.043,9.063
2014,6,2,6,1,6,12,2,E,Rotation 1,118.338,122.366,14.27,14.314
2014,6,2,3,1,0,3,3,E,Rotation 1,7.094,,14.188,
2014,6,2,3,1,3,6,3,E,Rotation 1,5.283,,11.69,
2014,6,2,3,1,6,12,3,E,Rotation 1,11.133,,18.71,
2014,6,2,5,2,0,3,4,E,Rotation 1,14.521,6.162,19.241,7.828
2014,6,2,5,2,3,6,4,E,Rotation 1,15.736,4.003,12.814,6.868
2014,6,2,5,2,6,12,4,E,Rotation 1,50.479,15.469,27.544,9.224
2014,6,2,2,2,0,3,5,E,Rotation 1,3.548,,13.908,
2014,6,2,2,2,3,6,5,E,Rotation 1,4.869,,17.453,
2014,6,2,2,2,6,12,5,E,Rotation 1,13.574,,22.043,
2014,6,2,4,2,0,3,6,E,Rotation 1,10.371,,13.153,
2014,6,2,4,2,3,6,6,E,Rotation 1,10.903,,21.131,
2014,6,2,4,2,6,12,6,E,Rotation 1,30.08,,25.815,
2014,6,2,2,3,0,3,7,E,Rotation 1,6.79,,10.945,
2014,6,2,2,3,3,6,7,E,Rotation 1,6.013,,12.982,
2014,6,2,2,3,6,12,7,E,Rotation 1,11.89,,22.395,
2014,6,2,3,3,0,3,8,E,Rotation 1,7.21,,15.63,
2014,6,2,3,3,3,6,8,E,Rotation 1,6.519,,15.511,
2014,6,2,3,3,6,12,8,E,Rotation 1,14.784,,18.043,
2014,6,2,6,3,0,3,9,E,Rotation 1,7.525,,4.993,
2014,6,2,6,3,3,6,9,E,Rotation 1,9.505,,18.897,
2014,6,2,6,3,6,12,9,E,Rotation 1,24.869,,29.983,
2014,6,2,2,1,0,3,10,E,Rotation 1,4.974,,15.177,
2014,6,2,2,1,3,6,10,E,Rotation 1,3.468,,16.798,
2014,6,2,2,1,6,12,10,E,Rotation 1,8.235,,14.362,
2014,6,2,5,1,0,3,11,E,Rotation 1,4.909,,7.626,
2014,6,2,5,1,3,6,11,E,Rotation 1,3.361,,14.823,
2014,6,2,5,1,6,12,11,E,Rotation 1,8.667,,22.358,
2014,6,2,4,1,0,3,12,E,Rotation 1,3.802,,12.605,
2014,6,2,4,1,3,6,12,E,Rotation 1,5.488,,20.764,
2014,6,2,4,1,6,12,12,E,Rotation 1,11.343,,22.201,
2014,6,2,6,2,0,3,13,E,Rotation 1,4.118,,14.671,
2014,6,2,6,2,3,6,13,E,Rotation 1,3.248,,11.484,
2014,6,2,6,2,6,12,13,E,Rotation 1,12.835,,32.261,
2014,6,2,1,2,0,3,14,E,Rotation 1,2.507,,13.321,
2014,6,2,1,2,3,6,14,E,Rotation 1,3.58,,23.206,
2014,6,2,1,2,6,12,14,E,Rotation 1,8.245,,43.362,
2014,6,2,3,2,0,3,15,E,Rotation 1,5.5,,12.936,
2014,6,2,3,2,3,6,15,E,Rotation 1,7.587,,5.541,
2014,6,2,3,2,6,12,15,E,Rotation 1,11.93,,40.191,
2014,6,2,1,3,0,3,16,E,Rotation 1,3.396,,10.761,
2014,6,2,1,3,3,6,16,E,Rotation 1,4.284,,12.328,
2014,6,2,1,3,6,12,16,E,Rotation 1,9.479,,15.894,
2014,6,2,4,3,0,3,17,E,Rotation 1,4.157,,12.576,
2014,6,2,4,3,3,6,17,E,Rotation 1,5.007,,12.42,
2014,6,2,4,3,6,12,17,E,Rotation 1,13.644,,20.004,
2014,6,2,5,3,0,3,18,E,Rotation 1,13.311,,10.387,
2014,6,2,5,3,3,6,18,E,Rotation 1,9.861,,11.561,
2014,6,2,5,3,6,12,18,E,Rotation 1,20.284,,19.016,
2014,6,2,1,1,0,3,1,W,Rotation 1,4.954,,12.537,
2014,6,2,1,1,3,6,1,W,Rotation 1,4.979,,17.482,
2014,6,2,1,1,6,12,1,W,Rotation 1,8.91,,25.292,
2014,6,2,6,1,0,3,2,W,Rotation 1,62.939,13.276,23.592,7.246
2014,6,2,6,1,3,6,2,W,Rotation 1,12.666,5.827,18.633,5.629
2014,6,2,6,1,6,12,2,W,Rotation 1,25.872,21.587,40.652,9.42
2014,6,2,3,1,0,3,3,W,Rotation 1,6.711,,16.392,
2014,6,2,3,1,3,6,3,W,Rotation 1,5.503,,16.548,
2014,6,2,3,1,6,12,3,W,Rotation 1,13.876,,38.736,
2014,6,2,5,2,0,3,4,W,Rotation 1,10.033,,31.62,
