treatment,study,suffix,depthTop,meanConcNO3,sdConcNO3,pValue
1,Rotation 1,E,0,3.620333333,1.240803906,-
1,Rotation 1,W,0,4.73,0.935337907,0.368
1,Rotation 1,E,3,3.556,0.740291834,-
1,Rotation 1,W,3,4.301666667,0.625786971,0.244
1,Rotation 1,E,6,8.092666667,1.468438059,-
1,Rotation 1,W,6,9.470666667,1.166825323,0.878
2,Rotation 1,E,0,5.104,1.62490492,-
2,Rotation 1,W,0,29.64207846,26.41183401,0.034
2,Rotation 1,E,3,4.783333333,1.27466087,-
2,Rotation 1,W,3,15.44433333,13.07630989,0.264
2,Rotation 1,E,6,11.233,2.729462768,-
2,Rotation 1,W,6,23.25666667,11.34663344,0.866
3,Rotation 1,E,0,6.601333333,0.955544522,-
3,Rotation 1,W,0,6.864333333,1.700193616,0.409
3,Rotation 1,E,3,6.463,1.153020381,-
3,Rotation 1,W,3,6.914,1.787431397,0.323
3,Rotation 1,E,6,12.61566667,1.919649534,-
3,Rotation 1,W,6,17.474,3.562061061,0.43
4,Rotation 1,E,0,6.11,3.694400763,-
4,Rotation 1,W,0,17.00166667,5.605383335,0.156
4,Rotation 1,E,3,7.132666667,3.274049531,-
4,Rotation 1,W,3,10.13033333,4.304910723,0.292
4,Rotation 1,E,6,18.35566667,10.21854414,-
4,Rotation 1,W,6,23.31333333,8.766869472,0.519
5,Rotation 1,E,0,8.127333333,4.532692614,-
5,Rotation 1,W,0,26.42095067,18.71984876,0.332
5,Rotation 1,E,3,5.741666667,3.581860038,-
5,Rotation 1,W,3,15.99233333,10.35473999,0.273
5,Rotation 1,E,6,14.80666667,5.836753064,-
5,Rotation 1,W,6,27.26533333,7.353960996,0.045
6,Rotation 1,E,0,40.75866667,60.5369206,-
6,Rotation 1,W,0,32.25866667,17.13969155,0.234
6,Rotation 1,E,3,41.095,60.21553154,-
6,Rotation 1,W,3,11.743,5.951817622,0.229
6,Rotation 1,E,6,52.014,57.75256722,-
6,Rotation 1,W,6,31.72233333,10.181814,0.649
1,Rotation 2,E,0,3.504666667,0.515146905,-
1,Rotation 2,W,0,5.039333333,1.375341533,0.275
1,Rotation 2,E,3,2.831333333,0.488714982,-
1,Rotation 2,W,3,4.483666667,0.700143795,0.409
1,Rotation 2,E,6,8.245,1.39255736,-
1,Rotation 2,W,6,10.28166667,2.993644323,0.76
2,Rotation 2,E,0,5.757,1.147918551,-
2,Rotation 2,W,0,33.71066667,46.9735747,0.982
2,Rotation 2,E,3,4.903666667,1.112550823,-
2,Rotation 2,W,3,15.557,16.75694101,0.185
2,Rotation 2,E,6,12.24766667,2.850270221,-
2,Rotation 2,W,6,28.62766667,19.01029464,0.872
3,Rotation 2,E,0,68.16366667,86.91963377,-
3,Rotation 2,W,0,42.92233333,53.37233186,0.118
3,Rotation 2,E,3,15.69233333,13.93793045,-
3,Rotation 2,W,3,11.44633333,9.976225355,0.41
3,Rotation 2,E,6,21.80733333,6.73482519,-
3,Rotation 2,W,6,20.13466667,10.23565046,0.764
4,Rotation 2,E,0,31.22766667,22.37977874,-
4,Rotation 2,W,0,30.88766667,26.4285122,0.91
4,Rotation 2,E,3,18.65276667,19.01696769,-
4,Rotation 2,W,3,17.07966667,10.80900654,0.381
4,Rotation 2,E,6,28.41575124,25.54407124,-
4,Rotation 2,W,6,21.89966667,1.797523111,0.432
5,Rotation 2,E,0,7.010333333,2.228316928,-
5,Rotation 2,W,0,34.176,21.42052201,0.363
5,Rotation 2,E,3,7.502333333,3.608787377,-
5,Rotation 2,W,3,13.65866667,6.458172368,0.315
5,Rotation 2,E,6,21.6,8.278740001,-
5,Rotation 2,W,6,25.332,5.970720141,0.863
6,Rotation 2,E,0,25.48966667,17.96258418,-
6,Rotation 2,W,0,21.81433333,24.04873821,0.703
6,Rotation 2,E,3,35.723,43.81052534,-
6,Rotation 2,W,3,9.044,5.267731865,0.694
6,Rotation 2,E,6,80.59766667,101.004511,-
6,Rotation 2,W,6,20.924,7.386740892,0.434
