treatment,study,suffix,depthTop,meanConcNH4,sdConcNH4,pValue
1,Rotation 1,E,0,12.007,1.281353971,-
1,Rotation 1,W,0,16.62266667,3.84918749,0.164
1,Rotation 1,E,3,14.26133333,8.151798411,-
1,Rotation 1,W,3,21.51033333,5.003357306,0.783
1,Rotation 1,E,6,27.538,14.20306502,-
1,Rotation 1,W,6,27.70933333,2.105104827,0.909
2,Rotation 1,E,0,13.34333333,2.171771704,-
2,Rotation 1,W,0,14.17612265,4.277554547,0.102
2,Rotation 1,E,3,15.74433333,2.414564212,-
2,Rotation 1,W,3,19.46766667,2.18803801,0.135
2,Rotation 1,E,6,19.6,4.539654062,-
2,Rotation 1,W,6,35.327,1.962729987,0.416
3,Rotation 1,E,0,14.25133333,1.348116217,-
3,Rotation 1,W,0,14.481,2.88532026,0.273
3,Rotation 1,E,3,10.914,5.030095128,-
3,Rotation 1,W,3,16.97033333,3.475797223,0.12
3,Rotation 1,E,6,25.648,12.59902214,-
3,Rotation 1,W,6,38.39466667,9.022843528,0.17
4,Rotation 1,E,0,12.778,0.325083066,-
4,Rotation 1,W,0,19.00633333,3.762679409,0.601
4,Rotation 1,E,3,18.105,4.926772879,-
4,Rotation 1,W,3,15.598,5.844571584,0.091
4,Rotation 1,E,6,22.67333333,2.934153086,-
4,Rotation 1,W,6,40.126,11.54201663,0.912
5,Rotation 1,E,0,8.613666667,1.539069308,-
5,Rotation 1,W,0,21.15787033,9.068029656,0.985
5,Rotation 1,E,3,11.084,3.998893972,-
5,Rotation 1,W,3,17.82633333,1.097287717,0.015
5,Rotation 1,E,6,16.866,6.825859946,-
5,Rotation 1,W,6,24.803,9.898241106,0.234
6,Rotation 1,E,0,10.82533333,5.135762293,-
6,Rotation 1,W,0,17.18633333,10.44456702,0.112
6,Rotation 1,E,3,13.47466667,4.75083091,-
6,Rotation 1,W,3,14.12533333,8.199211324,0.324
6,Rotation 1,E,6,25.50466667,9.795949282,-
6,Rotation 1,W,6,29.13133333,17.097208,0.77
1,Rotation 2,E,0,6.056666667,1.450711664,-
1,Rotation 2,W,0,10.35866667,4.025002029,0.197
1,Rotation 2,E,3,6.681,1.680603463,-
1,Rotation 2,W,3,12.80133333,4.882286384,0.128
1,Rotation 2,E,6,9.562333333,2.788539821,-
1,Rotation 2,W,6,24.756,9.564954835,0.195
2,Rotation 2,E,0,6.258333333,1.70239312,-
2,Rotation 2,W,0,13.67366667,5.355019732,0.076
2,Rotation 2,E,3,5.395,1.675268337,-
2,Rotation 2,W,3,12.44433333,0.906047092,0.129
2,Rotation 2,E,6,9.903,0.876985747,-
2,Rotation 2,W,6,22.08533333,6.686681564,0.116
3,Rotation 2,E,0,7.52,2.065582484,-
3,Rotation 2,W,0,12.51,4.630720138,0.152
3,Rotation 2,E,3,4.994333333,2.020817739,-
3,Rotation 2,W,3,8.734,2.206744888,0.007
3,Rotation 2,E,6,9.354333333,0.526427899,-
3,Rotation 2,W,6,15.39666667,6.494596318,0.097
4,Rotation 2,E,0,8.518,3.19563374,-
4,Rotation 2,W,0,18.39666667,5.707178316,0.167
4,Rotation 2,E,3,6.12855,0.464948392,-
4,Rotation 2,W,3,13.537,6.053349403,0.08
4,Rotation 2,E,6,12.88462189,5.46939398,-
4,Rotation 2,W,6,24.889,7.127839855,0.009
5,Rotation 2,E,0,6.571666667,1.376780423,-
5,Rotation 2,W,0,19.37466667,8.98146766,0.101
5,Rotation 2,E,3,5.315,1.472473769,-
5,Rotation 2,W,3,11.463,3.563512733,0.085
5,Rotation 2,E,6,8.807333333,2.838494378,-
5,Rotation 2,W,6,27.06533333,5.945010877,0.248
6,Rotation 2,E,0,6.436333333,0.513093884,-
6,Rotation 2,W,0,17.96233333,7.481081228,0.086
6,Rotation 2,E,3,5.524,2.135874294,-
6,Rotation 2,W,3,13.33266667,1.667827729,0.019
6,Rotation 2,E,6,18.318,16.46017652,-
6,Rotation 2,W,6,33.03266667,9.671753426,0.268
